generated_at,source_path,archive_path,exists_now,file_count,size_bytes,geo_code_reference_count,action,status
2026-07-08T15:32:43.860803Z,D:\AAAresearch_paper\forth,D:\AAAresearch_paper\_NON_GEO_ARCHIVE\forth,yes,152,1342645898,0,move,planned
2026-07-08T15:32:43.872755Z,D:\AAAresearch_paper\second_report,D:\AAAresearch_paper\_NON_GEO_ARCHIVE\second_report,yes,232,19296773278,0,move,planned
2026-07-08T15:32:43.879453Z,D:\AAAresearch_paper\third_report\code\epic_ceres,D:\AAAresearch_paper\_NON_GEO_ARCHIVE\third_report\code\epic_ceres,yes,24,538167,0,move,planned
2026-07-08T15:32:43.886573Z,D:\AAAresearch_paper\third_report\paper_notion_manager,D:\AAAresearch_paper\_NON_GEO_ARCHIVE\third_report\paper_notion_manager,yes,34,48014477,0,move,planned
2026-07-08T15:32:43.903998Z,D:\AAAresearch_paper\third_report\outputs\epic_ceres,D:\AAAresearch_paper\_NON_GEO_ARCHIVE\third_report\outputs\epic_ceres,yes,268,5221871749,0,move,planned
2026-07-08T15:32:43.917029Z,D:\AAAresearch_paper\third_report\outputs\epic_ceres_fullmonth_v2,D:\AAAresearch_paper\_NON_GEO_ARCHIVE\third_report\outputs\epic_ceres_fullmonth_v2,yes,196,46849991,0,move,planned
2026-07-08T15:32:43.924087Z,D:\AAAresearch_paper\third_report\outputs\epic_ceres_ppt_assets,D:\AAAresearch_paper\_NON_GEO_ARCHIVE\third_report\outputs\epic_ceres_ppt_assets,yes,26,8397649,0,move,planned
